id,idtipo,nombre35,nombre50,nombre105,nombre105_ent_suc,observaciones,codigocif,siglavia,nombrevia,numerovia,restodom,codpostal,poblacion,provincia,codpais,servtasa,telefono,pendbaja,numfax,dirinternet,fchbaja,motbaja,codentsuc,fechactualiza,fechaalta,codaut,codprov,nomcomercial,indicativonc,bic,nomentmatriz,direntmatriz,locentmatriz,cpentmatriz,telentmatriz,faxentmatriz,internetentmatriz,cod_autonomia,anagrama
1,11,"STANDARD CHARTERED BANK","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK",NULL,NULL,N0060668A,CL,PINAR,5,NULL,28006,MADRID,NULL,GB,NULL,917437385,NULL,917437099,NULL,NULL,NULL,0000,2010-03-17,1983-04-25,NULL,28,NULL,N,NULL,"STANDARD CHARTERED BANK, PLC","1 ALDERMANBURY SQUARE","LONDON EC2V 7SB",NULL,4402072807500,NULL,NULL,12,"STANDARD CHART."
2,11,"CAISSE CENTRALE BANQUES POPULAIRES","CAISSE CENTRALE BANQUES POPULAIRES - BARCELONA","CAISSE CENTRALE BANQUES POPULAIRES - BARCELONA",NULL,NULL,NULL,PS,GRACIA,2,NULL,8012,BARCELONA,NULL,ES,NULL,0,NULL,0,NULL,1992-02-03,"ASIGNACION ERRONEA DE CODIGO",0000,2008-03-06,1983-07-29,NULL,8,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,CAISSEBANK
3,11,"UNICREDIT BANK AG","UNICREDIT BANK AG","UNICREDIT BANK AG",NULL,NULL,N0041117C,CL,MONTALBAN,7,"PL. 5",28014,MADRID,NULL,DE,NULL,917011541,NULL,913198671,NULL,2011-02-09,"POR CIERRE",0000,2011-02-09,1987-07-22,NULL,28,NULL,N,HYVEESM1XXX,"UNICREDIT BANK AG","VOR 1 - AM TUCHERPARK 16","80538 MUNCHEN",NULL,NULL,NULL,NULL,12,"UNICREDIT BANK"
4,11,"HAMBROS BANK (JERSEY) LIMITED","HAMBROS BANK (JERSEY) LIMITED","HAMBROS BANK (JERSEY) LIMITED",NULL,NULL,NULL,NULL,.,NULL,NULL,28000,MADRID,NULL,US,NULL,0,NULL,0,NULL,1987-11-16,"POR CIERRE",0000,2008-03-06,1987-10-02,NULL,28,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,"HAMBROS BANK"
5,11,"SKANDINAVISKA ENSKILDA BANKEN","SKANDINAVISKA ENSKILDA BANKEN               OR","SKANDINAVISKA ENSKILDA BANKEN          OR",NULL,NULL,NULL,NULL,"RICARDO SORIANO, 50",0,NULL,29600,"MARBELLA (MALAGA)",NULL,ES,NULL,914298052,NULL,0,NULL,1990-12-04,NULL,0000,2008-03-06,1990-03-07,NULL,29,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,SKANDINAVISK
6,11,"KANSALLIS INTERNATIONAL BANK","KANSALLIS INTERNATIONAL BANK","KANSALLIS INTERNATIONAL BANK",NULL,NULL,NULL,AV,"SANTOS REIN",4,NULL,29640,FUENGIROLA,MALAGA,ES,NULL,0,NULL,0,NULL,1994-02-04,"ORDEN DEL JEFE DE OFICINA",0000,2008-03-06,1988-10-28,NULL,29,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NKANSALLIS
7,11,"WESTDEUTSCHE LANDESBANK","WESTDEUTSCHE LANDESBANK","WESTDEUTSCHE LANDESBANK",NULL,NULL,A0041401A,PZ,"PABLO RUIZ PICASSO",S/N,NULL,28020,MADRID,NULL,ES,NULL,914318440,NULL,0,NULL,1991-01-02,"POR CIERRE",0000,2008-03-06,1989-06-07,NULL,28,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,WESTDEUTSCHE
8,11,"THE INDUSTRIAL BANK OF JAPAN, LTD.","THE INDUSTRIAL BANK OF JAPAN, LTD.","THE INDUSTRIAL BANK OF JAPAN, LTD.",NULL,NULL,NULL,PS,CASTELLANA,51,PL.3,28046,MADRID,NULL,ES,NULL,914197107,NULL,0,NULL,1993-07-03,"POR CIERRE",0000,2008-03-06,1989-06-02,NULL,28,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,INDUSTRIALBA
9,11,"CREDIT SUISSE DE ZURICH","CREDIT SUISSE DE ZURICH","CREDIT SUISSE DE ZURICH",NULL,NULL,A0361865I,PS,RECOLETOS,17,NULL,28004,MADRID,NULL,ES,NULL,915959999,NULL,915213011,NULL,1998-03-03,"A PETICION PROPIA",0000,2008-03-06,1989-06-08,NULL,28,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,"CREDIT SUISSE"
10,11,"SVENSKA HANDELSBANKEN","SVENSKA HANDELSBANKEN","SVENSKA HANDELSBANKEN",NULL,NULL,A0301022J,UR,"NUEVA ANDALUCIA",NULL,"CENTRO COM. PLAZA 2",29660,MARBELLA,MALAGA,SE,NULL,952817550,NULL,952817567,NULL,2008-10-15,"POR CIERRE",0000,2008-10-15,1990-03-15,NULL,29,NULL,N,HANDES21XXX,"SVENSKA HANDELSBANKEN","KUNGSTRÄDGARDSGATAN, 2","S-10670 STOCKHOLM",NULL,87011000,NULL,NULL,1,"SVENSKA HANDELS"
